Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773611044	0	0	0	0	0	141667	143944	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611046	1	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611048	3	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611050	5	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611052	7	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611054	9	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611056	11	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611058	13	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611060	15	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611062	17	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
1773611064	19	0	0	0	0	392129	394508	0	787612	6593	0	88	0	0	0	0	0	0	0	1	1
