Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773610912	0	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610914	2	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610916	4	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610918	6	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610920	8	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610922	10	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610924	12	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610926	14	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610928	16	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610930	18	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610932	20	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610934	22	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610936	24	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610938	26	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
1773610940	28	0	0	0	0	50333	52712	0	104020	6593	0	87	0	0	0	0	0	0	0	1	1
